{731707,0},
{79,1444},
{81,480},
{76,1440},
{69,240},
{0,2},
{72,119},
{0,1},
{76,359},
{74,120},
{74,238},
{0,2},
{72,239},
{0,2},
{76,358},
{0,2},
{74,118},
{0,2},
{74,237},
{0,3},
{74,359},
{72,1920},
{79,1440},
{81,479},
{76,1920},
{76,240},
{0,2},
{74,118},
{0,2},
{74,359},
{72,120},
{76,360},
{74,119},
{0,2},
{74,238},
{0,2},
{74,358},
{72,961},
{69,479},
{72,481},
{74,240},
{79,240},
{79,239},
{0,2},
{79,238},
{79,240},
{0,2},
{76,238},
{76,241},
{74,120},
{74,360},
{76,719},
{69,481},
{72,480},
{74,239},
{0,2},
{79,238},
{79,240},
{0,2},
{79,239},
{79,240},
{76,120},
{74,360},
{76,479},
{0,2},
{72,719},
{69,480},
{72,479},
{74,240},
{0,2},
{79,239},
{79,240},
{79,240},
{79,240},
{0,1},
{76,118},
{0,2},
{76,238},
{0,2},
{74,238},
{0,2},
{74,237},
{0,3},
{76,1078},
{0,122},
{67,118},
{69,240},
{0,2},
{72,239},
{74,959},
{76,961},
{77,959},
{79,481},
{79,480},
{76,1200},
{76,240},
{74,240},
{72,119},
{0,2},
{69,358},
{0,2},
{67,357},
{0,3},
{67,119},
{67,120},
{69,238},
{0,2},
{67,240},
{67,239},
{0,2},
{79,358},
{76,1200},
{0,2},
{76,238},
{74,240},
{0,2},
{72,118},
{0,2},
{69,359},
{67,358},
{0,2},
{67,120},
{67,120},
{69,239},
{0,2},
{67,238},
{0,2},
{67,238},
{0,2},
{79,359},
{76,1199},
{0,2},
{76,239},
{74,240},
{72,120},
{69,360},
{67,960},
{0,120},
{67,120},
{69,118},
{0,2},
{72,360},
{74,1440},
{76,480},
{74,119},
{0,2},
{72,118},
{0,2},
{69,1198},
{67,120},
{0,2},
{69,118},
{0,2},
{72,238},
{74,961},
{76,479},
{76,481},
{74,1920},
{79,1440},
{81,480},
{76,1440},
{69,240},
{72,120},
{76,360},
{0,1},
{74,118},
{0,2},
{74,238},
{0,2},
{72,239},
{0,1},
{76,359},
{74,120},
{74,239},
{0,1},
{74,359},
{72,1920},
{79,1440},
{81,481},
{76,1920},
{76,240},
{74,120},
{74,359},
{0,2},
{72,118},
{0,2},
{76,358},
{0,2},
{74,119},
{0,1},
{74,237},
{0,2},
{74,360},
{72,959},
{69,481},
{72,479},
{74,240},
{0,2},
{79,238},
{79,240},
{0,2},
{79,239},
{79,240},
{76,240},
{76,239},
{0,2},
{74,118},
{0,2},
{74,358},
{0,2},
{76,719},
{69,479},
{72,480},
{74,241},
{0,1},
{79,239},
{79,240},
{79,240},
{79,239},
{0,2},
{76,118},
{0,2},
{74,358},
{0,2},
{76,479},
{72,719},
{69,480},
{72,481},
{74,240},
{79,240},
{79,240},
{0,1},
{79,238},
{79,240},
{0,2},
{76,119},
{0,1},
{76,237},
{0,2},
{74,240},
{74,239},
{0,1},
{76,1080},
{0,120},
{67,120},
{69,240},
{72,239},
{74,961},
{76,959},
{77,961},
{79,479},
{79,480},
{76,1200},
{0,2},
{76,238},
{74,240},
{0,2},
{72,119},
{0,1},
{69,359},
{67,358},
{0,2},
{67,120},
{0,1},
{67,118},
{0,2},
{69,238},
{0,2},
{67,238},
{0,2},
{67,237},
{0,3},
{79,359},
{76,1199},
{0,2},
{76,239},
{74,240},
{72,120},
{69,359},
{0,2},
{67,358},
{0,2},
{67,118},
{0,2},
{67,118},
{0,2},
{69,237},
{0,2},
{67,240},
{67,238},
{0,2},
{79,359},
{76,1201},
{76,240},
{74,239},
{0,2},
{72,118},
{0,2},
{69,358},
{0,2},
{67,959},
{0,121},
{67,118},
{69,120},
{0,2},
{72,358},
{74,1440},
{76,481},
{74,118},
{0,2},
{72,120},
{69,1199},
{67,119},
{0,2},
{69,120},
{72,240},
{74,959},
{76,481},
{76,480},
{79,1919},
{0,242},
{88,238},
{84,241},
{88,240},
{84,240},
{88,240},
{84,239},
{0,2},
{88,238},
{84,120},
{0,2},
{81,118},
{0,2},
{79,239},
{0,1680},
{88,240},
{84,240},
{88,239},
{84,240},
{0,2},
{88,238},
{84,240},
{0,2},
{88,239},
{84,959},
{0,1201},
{88,239},
{84,240},
{0,2},
{88,238},
{84,241},
{0,1},
{88,239},
{84,240},
{88,240},
{84,119},
{0,2},
{81,118},
{0,2},
{79,238},
{0,721},
{88,240},
{86,240},
{86,2159},
{76,1200},
{0,2},
{76,238},
{74,240},
{0,2},
{72,118},
{0,2},
{69,359},
{67,358},
{0,2},
{67,120},
{67,120},
{69,239},
{0,2},
{67,238},
{0,2},
{67,238},
{0,2},
{79,359},
{76,1199},
{0,2},
{76,239},
{74,240},
{72,120},
{69,360},
{67,359},
{0,2},
{67,118},
{0,2},
{67,118},
{0,2},
{69,238},
{0,2},
{67,239},
{67,238},
{0,2},
{79,360},
{76,1200},
{76,240},
{74,240},
{0,1},
{72,118},
{0,2},
{69,358},
{0,2},
{67,959},
{0,120},
{67,119},
{69,120},
{0,2},
{72,358},
{74,1440},
{76,481},
{74,118},
{0,2},
{72,120},
{69,1199},
{67,120},
{0,2},
{69,119},
{0,1},
{72,239},
{74,959},
{76,481},
{76,480},
{79,1920},
{0,241},
{88,238},
{84,240},
{0,2},
{88,239},
{84,240},
{88,240},
{84,239},
{0,2},
{88,238},
{84,120},
{0,2},
{81,118},
{0,2},
{79,238},
{0,1682},
{88,239},
{84,240},
{88,240},
{84,239},
{0,2},
{88,238},
{84,240},
{0,2},
{88,239},
{84,959},
{0,1201},
{88,240},
{84,239},
{0,2},
{88,238},
{84,240},
{0,2},
{88,239},
{84,240},
{88,240},
{84,118},
{0,2},
{81,120},
{0,1},
{79,239},
{0,720},
{88,240},
{86,240},
{86,2159},
{0,1322},
{67,118},
{69,120},
{0,2},
{72,358},
{74,1440},
{76,481},
{74,118},
{0,2},
{72,120},
{69,1199},
{67,119},
{0,3},
{69,119},
{72,240},
{74,959},
{76,481},
{76,480},
{74,959},
{0,361},
{67,120},
{69,118},
{0,2},
{72,359},
{74,1441},
{76,479},
{74,120},
{0,2},
{72,118},
{0,2},
{69,1198},
{67,120},
{0,2},
{69,118},
{0,2},
{72,238},
{74,961},
{76,479},
{76,481},
{74,1920},
