{431654,0},
{61,113},
{0,7},
{63,113},
{0,7},
{65,227},
{0,13},
{63,455},
{0,25},
{58,683},
{0,37},
{58,227},
{0,13},
{61,113},
{0,7},
{63,113},
{0,7},
{65,227},
{0,13},
{63,1367},
{0,73},
{61,113},
{0,7},
{63,113},
{0,7},
{65,227},
{0,13},
{63,455},
{0,25},
{58,683},
{0,37},
{58,227},
{0,13},
{61,113},
{0,7},
{63,113},
{0,7},
{65,227},
{0,13},
{63,1367},
{0,73},
{65,113},
{0,7},
{63,113},
{0,7},
{61,227},
{0,13},
{63,455},
{0,25},
{58,683},
{0,37},
{58,227},
{0,13},
{61,113},
{0,7},
{63,113},
{0,7},
{65,227},
{0,13},
{63,1367},
{0,73},
{63,113},
{0,7},
{63,113},
{0,7},
{65,227},
{0,13},
{63,455},
{0,25},
{58,683},
{0,37},
{58,227},
{0,13},
{61,113},
{0,7},
{63,113},
{0,7},
{65,227},
{0,13},
{63,226},
{0,8},
{61,83},
{0,12},
{58,612},
{0,259},
{65,227},
{0,13},
{63,227},
{0,13},
{61,227},
{0,13},
{63,341},
{0,19},
{63,113},
{0,7},
{63,227},
{0,13},
{63,227},
{0,13},
{65,911},
{0,49},
{63,455},
{0,25},
{63,227},
{0,13},
{63,227},
{0,13},
{65,455},
{0,25},
{61,455},
{0,25},
{63,341},
{0,19},
{63,113},
{0,7},
{63,227},
{0,13},
{63,227},
{0,13},
{65,911},
{0,49},
{63,227},
{0,13},
{63,227},
{0,13},
{63,227},
{0,13},
{63,227},
{0,13},
{65,455},
{0,25},
{58,455},
{0,25},
{63,455},
{0,25},
{63,227},
{0,13},
{63,227},
{0,13},
{65,911},
{0,49},
{63,227},
{0,13},
{63,227},
{0,13},
{63,227},
{0,13},
{63,227},
{0,13},
{65,227},
{0,13},
{63,227},
{0,13},
{63,1367},
{0,73},
{63,227},
{0,13},
{61,227},
{0,13},
{61,840},
{0,838},
{73,235},
{0,7},
{77,227},
{0,13},
{80,227},
{0,13},
{82,683},
{0,37},
{80,227},
{0,13},
{82,227},
{0,13},
{85,227},
{0,13},
{77,1367},
{0,73},
{78,227},
{0,13},
{77,227},
{0,13},
{75,227},
{0,13},
{73,227},
{0,13},
{75,683},
{0,37},
{73,227},
{0,13},
{75,227},
{0,13},
{77,227},
{0,13},
{70,1823},
{0,97},
{77,227},
{0,13},
{80,227},
{0,13},
{82,683},
{0,37},
{80,227},
{0,13},
{82,227},
{0,13},
{85,227},
{0,13},
{77,1414},
{0,26},
{78,227},
{0,13},
{77,227},
{0,13},
{75,227},
{0,13},
{73,227},
{0,13},
{75,683},
{0,37},
{73,227},
{0,13},
{75,227},
{0,13},
{77,227},
{0,13},
{70,683},
{0,37},
{77,227},
{0,13},
{77,227},
{0,13},
{77,227},
{0,13},
{77,227},
{0,13},
{75,227},
{0,13},
{73,227},
{0,13},
{75,227},
{0,13},
{75,455},
{0,25},
{70,455},
{0,25},
{75,455},
{0,25},
{70,683},
{0,37},
{77,227},
{0,13},
{77,227},
{0,13},
{77,227},
{0,13},
{77,227},
{0,13},
{75,227},
{0,13},
{73,227},
{0,13},
{75,227},
{0,13},
{75,1367},
{0,73},
{73,683},
{0,37},
{77,227},
{0,13},
{77,227},
{0,13},
{77,227},
{0,13},
{77,227},
{0,13},
{75,227},
{0,13},
{73,227},
{0,13},
{75,227},
{0,9},
{75,455},
{0,25},
{70,455},
{0,25},
{75,455},
{0,25},
{70,683},
{0,41},
{77,227},
{0,13},
{77,227},
{0,13},
{77,227},
{0,13},
{77,227},
{0,13},
{75,227},
{0,13},
{73,227},
{0,13},
{75,227},
{0,13},
{75,1367},
{0,73},
{73,683},
{0,37},
{77,227},
{0,13},
{77,227},
{0,13},
{77,227},
{0,13},
{77,227},
{0,13},
{75,227},
{0,13},
{73,227},
{0,13},
{75,227},
{0,15},
{75,455},
{0,25},
{70,455},
{0,25},
{75,455},
{0,25},
{70,683},
{0,4111},
{77,228},
{0,12},
{77,227},
{0,13},
{77,227},
{0,13},
{77,227},
{0,14},
{75,226},
{0,14},
{73,227},
{0,12},
{75,228},
{0,14},
{75,455},
{0,26},
{70,455},
{0,24},
{75,455},
{0,25},
{70,683},
{0,16839},
{75,455},
{0,25},
{70,455},
{0,24},
{75,455},
{0,26},
{70,683},
{0,728},
{73,227},
{0,21},
{73,227},
{0,13},
{75,227},
{0,14},
{73,112},
{0,8},
{75,227},
{0,12},
{73,113},
{0,7},
{77,227},
{0,34},
{70,455},
{0,25},
{70,227},
{0,13},
{73,227},
{0,13},
{75,227},
{0,13},
{73,113},
{0,7},
{75,227},
{0,13},
{73,113},
{0,7},
{77,227},
{0,13},
{70,455},
{0,25},
{70,227},
{0,13},
{73,227},
{0,13},
{75,227},
{0,13},
{73,113},
{0,7},
{75,227},
{0,13},
{73,113},
{0,7},
{75,227},
{0,13},
{73,113},
{0,7},
{75,227},
{0,13},
{77,341},
{0,19},
{73,227},
{0,13},
{75,227},
{0,13},
{73,113},
{0,7},
{75,227},
{0,13},
{73,113},
{77,227},
{0,14},
{70,454},
{0,2435},
{75,227},
{0,13},
{73,113},
{0,7},
{75,227},
{0,13},
{73,113},
{77,227},
{0,14},
{70,454},
{0,282},
{73,226},
{0,14},
{75,227},
{0,12},
{73,113},
{0,7},
{75,227},
{0,13},
{73,114},
{0,6},
{75,227},
{0,26},
{82,218},
{0,14},
{75,227},
{0,8},
{75,227},
{0,7},
{75,227},
{0,25},
{75,226},
{0,14},
{73,113},
{0,7},
{75,227},
{0,13},
{73,112},
{77,227},
{0,13},
{70,455},
{0,17},
{73,220},
{0,16},
{70,228},
{0,19},
{77,948},
{0,263},
{65,217},
{0,7},
{68,220},
{0,27},
{65,113},
{0,5},
{65,113},
{0,13},
{65,459},
{0,737},
{65,217},
{0,25},
{68,221},
{0,26},
{65,114},
{0,4},
{65,114},
{0,13},
{65,458},
{0,21},
{68,222},
{0,25},
{65,115},
{0,3},
{65,115},
{0,13},
{65,457},
{0,10},
{68,221},
{0,26},
{65,114},
{0,4},
{65,114},
{0,14},
{65,457},
{0,715},
{70,229},
{0,22},
{73,220},
{0,16},
{70,228},
{0,20},
{77,947},
{0,269},
{65,217},
{0,7},
{68,220},
{0,27},
{65,113},
{0,4},
{65,114},
{0,13},
{65,458},
{0,728},
{65,216},
{0,26},
{68,220},
{0,27},
{65,113},
{0,5},
{65,113},
{0,13},
{65,459},
{0,21},
{68,222},
{0,25},
{65,114},
{0,3},
{65,115},
{0,13},
{65,457},
{0,10},
{68,222},
{0,25},
{65,115},
{0,3},
{65,115},
{0,13},
{65,458},
{0,696},
{73,227},
{0,22},
{77,227},
{0,13},
{80,227},
{0,13},
{82,683},
{0,37},
{80,227},
{0,13},
{82,227},
{0,13},
{85,227},
{0,13},
{77,1367},
{0,73},
{77,71},
{0,1},
{78,157},
{0,11},
{77,227},
{0,13},
{75,227},
{0,13},
{73,227},
{0,13},
{75,683},
{0,37},
{73,227},
{0,13},
{75,227},
{0,13},
{77,227},
{0,13},
{70,1865},
{0,55},
{77,227},
{0,13},
{80,227},
{0,13},
{82,683},
{0,37},
{80,227},
{0,13},
{82,227},
{0,13},
{85,227},
{0,13},
{77,1367},
{0,73},
{78,227},
{0,13},
{77,227},
{0,13},
{75,227},
{0,13},
{73,227},
{0,13},
{75,683},
{0,37},
{73,227},
{0,13},
{75,227},
{0,13},
{77,227},
{0,13},
{70,683},
{0,37},
{77,227},
{0,13},
{77,227},
{0,13},
{77,227},
{0,13},
{77,227},
{0,13},
{75,227},
{0,13},
{73,227},
{0,13},
{75,227},
{0,13},
{75,455},
{0,25},
{70,455},
{0,25},
{75,455},
{0,25},
{70,683},
{0,37},
{77,227},
{0,13},
{77,227},
{0,13},
{77,227},
{0,13},
{77,227},
{0,13},
{75,227},
{0,13},
{73,227},
{0,13},
{75,227},
{0,13},
{75,1367},
{0,73},
{73,683},
{0,36},
{77,227},
{0,13},
{77,227},
{0,13},
{77,227},
{0,13},
{77,227},
{0,13},
{75,226},
{0,14},
{73,227},
{0,13},
{75,227},
{0,13},
{75,455},
{0,24},
{70,456},
{0,25},
{75,455},
{0,25},
{70,683},
{0,37},
{77,227},
{0,13},
{77,227},
{0,13},
{77,227},
{0,13},
{77,227},
{0,13},
{75,227},
{0,13},
{73,227},
{0,13},
{75,227},
{0,13},
{75,1367},
{0,73},
{73,683},
{0,36},
{77,228},
{0,13},
{77,226},
{0,14},
{77,227},
{0,13},
{77,227},
{0,13},
{75,227},
{0,13},
{73,227},
{0,12},
{75,228},
{0,15},
{75,455},
{0,24},
{70,456},
{0,25},
{75,455},
{0,25},
{70,683},
{0,3869},
{77,228},
{0,14},
{77,225},
{0,14},
{77,228},
{0,12},
{77,227},
{0,13},
{75,227},
{0,13},
{73,227},
{0,12},
{75,228},
{0,15},
{75,456},
{0,24},
{70,455},
{0,25},
{75,454},
{0,26},
{70,684},
{0,4840},
{65,227},
{0,13},
{63,227},
{0,13},
{61,227},
{0,13},
{63,341},
{0,19},
{63,113},
{0,7},
{63,227},
{0,13},
{63,227},
{0,13},
{65,227},
{0,13},
{58,227},
{0,13},
{58,455},
{0,17},
{63,341},
{0,19},
{63,113},
{0,7},
{63,227},
{0,13},
{63,227},
{0,13},
{65,227},
{0,21},
{58,227},
{0,13},
{58,455},
{0,25},
{63,341},
{0,19},
{63,113},
{0,7},
{63,227},
{0,13},
{63,227},
{0,13},
{65,227},
{0,13},
{58,227},
{0,13},
{58,227},
{0,13},
{58,227},
{0,13},
{63,341},
{0,19},
{63,113},
{0,7},
{63,227},
{0,13},
{63,227},
{0,13},
{65,227},
{0,13},
{58,227},
{0,13},
{58,455},
{0,36},
{63,342},
{0,18},
{61,112},
{0,9},
{63,227},
{0,11},
{61,227},
{0,14},
{65,227},
{0,2},
{58,227},
{0,13},
{58,455},
{0,25},
{63,341},
{0,19},
{63,113},
{0,7},
{63,227},
{0,13},
{63,227},
{0,13},
{65,227},
{0,13},
{58,227},
{0,13},
{58,455},
{0,25},
{63,341},
{0,19},
{61,113},
{0,7},
{61,227},
{0,13},
{63,227},
{0,13},
{65,227},
{0,13},
{58,227},
{0,13},
{58,227},
{0,13},
{58,227},
{0,13},
{63,341},
{0,19},
{63,113},
{0,7},
{63,227},
{0,13},
{63,227},
{0,13},
{65,227},
{0,13},
{58,227},
{0,13},
{58,227},
{0,13},
{58,227},
{0,13},
{58,1367},
{0,312},
{77,227},
{0,13},
{77,227},
{0,13},
{77,227},
{0,12},
{77,228},
{0,13},
{75,226},
{0,14},
{73,227},
{0,13},
{75,227},
{0,13},
{75,455},
{0,22},
{70,473},
{0,10},
{75,455},
{0,25},
{70,683},
{0,37},
{77,227},
{0,13},
{77,227},
{0,13},
{77,227},
{0,13},
{77,227},
{0,13},
{75,227},
{0,13},
{73,226},
{0,14},
{75,227},
{0,13},
{75,1367},
{0,73},
{73,683},
{0,36},
{77,228},
{0,13},
{77,226},
{0,14},
{77,227},
{0,13},
{77,227},
{0,13},
{75,227},
{0,13},
{73,227},
{0,12},
{75,228},
{0,13},
{75,454},
{0,26},
{70,465},
{0,15},
{75,455},
{0,25},
{70,682},
{0,38},
{77,227},
{0,13},
{77,227},
{0,13},
{77,226},
{0,14},
{77,227},
{0,13},
{75,227},
{0,13},
{73,227},
{0,13},
{75,227},
{0,12},
{75,1368},
{0,72},
{73,1436},
{444444,0},
